,priority,q_time,consult_time
98,1.0,20.045933283513364,18.03344894332554
100,1.0,14.468366683548538,14.436528314600764
97,3.0,38.81063942348726,8.763517006399411
101,3.0,19.114672688127598,13.632627732520177
99,3.0,33.61657253100066,20.52942660093845
102,3.0,24.136816694006143,9.89740126975471
104,2.0,3.942069634549398,6.943387004110718
103,3.0,7.9531397790163965,20.909848861366754
106,3.0,0.0,6.438146454432626
107,1.0,2.82700201627199,4.309383932997207
105,2.0,7.863155098554444,32.235977397102715
108,3.0,0.0,16.067368429470207
109,3.0,0.0,16.687262907439163
110,1.0,0.0,18.28035752406163
111,1.0,0.0,22.49943060137184
112,3.0,0.0,13.677840666970496
114,3.0,3.5527879602057055,10.31171348925568
113,3.0,0.0,17.261584481326963
115,3.0,0.0,17.57859005215937
116,1.0,0.0,16.706700958342026
118,2.0,0.0,7.747373207980672
117,1.0,0.0,10.849063910042787
120,1.0,5.901910123194057,17.956300010831683
119,1.0,7.728303864763802,29.690326673896607
121,2.0,10.31541293397072,18.084011268421364
122,3.0,0.0,12.964136627032758
124,2.0,0.0,13.532169686397765
123,3.0,0.0,26.31726278936094
125,2.0,11.622561421124828,9.937764791576456
126,3.0,13.20227365622145,10.069164301713045
127,1.0,0.0,7.9303384836975965
129,3.0,6.622416702330838,3.1036370253616496
128,3.0,5.733148468630134,12.054345193285599
130,1.0,0.0,5.103981400698331
132,1.0,0.0,23.918120357229554
131,3.0,0.0,31.612816406574666
133,3.0,18.819404323102845,10.156277588729154
134,3.0,22.00149926703625,22.876703308244032
135,3.0,0.0,19.426894711018576
136,2.0,0.0,13.0770804516319
137,2.0,0.0,8.887297483747034
138,2.0,0.0,11.850740885897949
139,2.0,0.0,13.786611693273926
140,1.0,5.705691638920371,9.540714082708064
142,2.0,5.590330089302597,16.08440637486433
141,2.0,0.7407434654448934,27.193273141086593
143,3.0,21.70742570410812,12.452582043400525
144,1.0,8.16133916106196,18.82780915797821
145,3.0,20.715984950831853,8.634909082968989
146,2.0,0.9196370917065906,18.0235741615395
149,1.0,4.992367687331807,4.7780008865534
148,2.0,8.40023645377073,15.966080181100097
151,2.0,1.1451549979765332,18.123190852943708
150,2.0,4.5143840026364614,23.350929292263572
147,3.0,43.99617307438598,24.88807390526813
152,1.0,0.0,13.104561528323757
153,1.0,2.550848415867904,10.987932820108654
154,1.0,3.263896679933623,8.11589372079402
155,1.0,0.0,9.984257787932165
156,2.0,0.0,9.50819520205141
159,1.0,2.6360508525858677,11.00326392384477
157,3.0,0.0,23.384500281068767
160,2.0,4.067873673109943,10.906915335087888
158,3.0,23.16547359606716,7.529528543845572
162,2.0,0.0,9.376180212609142
161,3.0,0.0,30.485060012876374
163,2.0,8.419392474243068,18.241447251686623
164,3.0,7.632905948854841,23.03168009974229
165,2.0,0.0,23.860551568692244
166,3.0,8.876803105862109,19.91543769590112
167,2.0,0.0,17.378545106366573
169,3.0,0.0,9.29917823862911
168,1.0,0.0,15.315567409169262
171,3.0,0.0,21.15493225272985
170,1.0,0.0,26.48195971417499
173,2.0,0.6402733865411392,17.071449538790603
172,2.0,6.314791104817687,20.006040271768143
175,3.0,0.0,15.723580875861217
174,2.0,8.26967607595293,19.050048341454385
176,3.0,0.0,13.92679392385321
177,3.0,0.0,14.226386947184665
178,1.0,0.0,14.253683644197736
179,2.0,4.520945029684981,17.31170623407479
180,2.0,7.132943348289473,21.15857531765596
181,3.0,0.0,14.673930097375887
183,3.0,10.081998297077917,8.452911993136468
182,2.0,9.082440904022178,16.7894497993384
185,1.0,4.384165225627839,24.769241185854753
186,2.0,18.113145283947915,10.38628252311878
184,3.0,17.866940732513513,31.200879139577182
188,2.0,6.425050857070801,18.30793560557686
187,3.0,7.614494505932271,19.757126656592845
189,3.0,0.0,17.037755516734933
191,1.0,2.08027290326595,21.604356710878164
190,1.0,0.0,27.764135550454284
192,2.0,21.987030581759655,21.371878479236784
195,1.0,2.8919114440350313,25.945480367387063
194,2.0,35.58530543494453,9.227275951832326
196,3.0,17.943268625187557,6.914845712802617
193,2.0,41.601838128077816,23.41116238925315
197,3.0,7.8947493108576055,9.11683620509757
198,2.0,1.1041211243173166,14.615041104613738
199,2.0,0.0,24.84097362895318
200,2.0,0.0,32.512386477830205
201,1.0,14.701570003258894,17.458413669968195
202,3.0,28.57723199690281,5.576596358067491
204,1.0,22.592548692381115,15.900461787128279
206,1.0,3.3593219036670234,21.052325026479593
207,2.0,5.1484991495767645,17.242511921384903
208,1.0,2.8707636314079537,13.023774084026172
203,3.0,54.072130916143124,21.271491437446002
209,2.0,7.223605363368733,19.85174223283002
205,3.0,49.579094358630755,17.859974211834924
210,3.0,18.65386367623387,21.764390090678717
211,3.0,0.7589914629497798,25.173764183539788
212,3.0,15.253276737647411,21.314191197978744
213,1.0,0.0,17.873446472896376
214,3.0,7.861416125165761,17.447177557338364
215,3.0,0.0,11.584483825979987
216,2.0,0.0,20.53853595920691
217,1.0,0.0,17.565811855495667
220,2.0,6.758995685645914,15.052409937382436
218,2.0,1.290449191848893,38.94987129619585
221,2.0,6.953434855368869,19.366144355272354
223,2.0,3.582867798199004,15.97237515747156
222,3.0,21.19014314799415,16.023058877744916
219,3.0,43.73871524250899,27.249331275665554
225,1.0,12.400278787104071,17.15947272632411
226,1.0,0.09614881501920536,23.424592814777952
228,2.0,1.71326431500529,8.475110290992689
224,3.0,48.84296327446691,17.83061640069627
227,3.0,20.086066634432427,16.39104483491883
230,1.0,12.738672734569718,14.843278413273765
229,3.0,10.064057885834245,32.51011303499172
231,3.0,6.449498295836747,17.470657130232667
232,2.0,1.0340614684814682,17.695645628880357
234,1.0,3.55446472691483,4.5692746632562375
233,1.0,13.651221178841752,18.97318769099047
235,2.0,1.6542095048271221,12.513807335481488
236,3.0,0.0,14.007478152629119
237,2.0,0.0,24.238793147877914
238,1.0,0.0,14.545659194553082
239,3.0,0.0,7.262444910366867
241,2.0,0.0,25.47691140701545
240,3.0,0.0,28.287560939658306
242,1.0,12.518500407445117,19.768651499908174
243,1.0,0.0,16.03047710744204
244,3.0,0.0,29.392104944407492
245,1.0,0.0,22.717209374410686
246,2.0,14.094896549990608,15.146125915020548
247,3.0,4.173893633671014,13.095201108502806
248,1.0,4.536796263691485,15.482113075094276
249,2.0,9.722574137625088,25.582454910130764
250,1.0,5.217653233157762,20.497374548102925
251,1.0,10.083162736327267,26.16620052160897
254,1.0,6.353106363196275,13.864480048736823
252,3.0,0.0,23.75168565795684
256,1.0,5.084735902118155,10.675506151179434
253,2.0,21.861604320441074,16.546279779234737
255,2.0,25.056024949485618,28.682763023053667
259,1.0,3.212864301423906,29.747642547478335
260,1.0,20.31997983723295,23.75325827783263
262,1.0,16.599895834986,22.146722999840676
263,1.0,8.191099160801514,18.713451675710985
261,2.0,47.76393279933109,22.17156229176726
264,1.0,7.577652774112721,16.998349837605474
265,1.0,6.185039411631806,6.846429259116121
267,1.0,0.3688399518382539,15.389894885772264
266,1.0,2.0796929873276895,28.94746197735094
269,1.0,9.666191927662112,7.703224590534319
268,1.0,14.525879134377192,21.937415639359187
257,3.0,133.6406148464216,21.888318341625563
271,2.0,7.690331824718669,26.202778011151622
258,3.0,147.1693842910613,5.0881575441617315
273,1.0,6.211091612576638,26.268934545310458
275,2.0,4.216774799963787,29.582442406015616
270,3.0,57.501942229418546,21.40152398104783
272,3.0,74.11183507254873,18.42998536781306
277,1.0,10.511545789686352,27.979041875061284
274,3.0,71.9919829588921,16.447829880026802
276,3.0,56.28747863175931,19.632834528797048
278,3.0,47.718796492259116,15.418038115767104
279,3.0,44.56780628317165,26.873249457258225
282,2.0,11.367583396044665,18.760649743303475
283,2.0,6.610701543591858,11.87203719439458
280,3.0,61.051726666328705,16.823732181095238
285,1.0,1.7854175686688905,18.71437123257965
286,1.0,9.852074301294579,12.995685916745515
288,1.0,5.966109657068046,6.362023684406267
281,3.0,64.95982801899663,9.197826845963846
284,2.0,28.648893014842088,15.083283822880276
287,3.0,23.644933478758503,19.736522794879875
289,2.0,0.0,25.959783419830273
290,2.0,0.8717523957234334,22.053121110618576
293,1.0,13.990584340944679,10.870876509630307
292,1.0,7.37758590610747,33.307501928296915
296,2.0,19.258703926412636,14.945559278740802
297,2.0,22.604221171637164,12.388664801802861
299,1.0,1.1542581046523992,22.16297615904523
300,1.0,4.409898978239198,18.679070433488505
302,1.0,2.825046999427741,12.35159703160025
301,2.0,16.85831337681566,16.613925541084427
291,3.0,82.42928223514855,14.265953761630954
304,2.0,5.303085747255864,16.65205464394694
294,3.0,83.62646957116931,13.692121044857686
298,3.0,82.97837871337924,10.152727133530334
295,3.0,96.09394437386072,20.076645163181183
306,1.0,7.836356733042521,18.231852596784393
307,2.0,5.798679783441457,18.520034932178532
308,2.0,14.465693840801123,21.16945796549271
309,2.0,16.115944624372787,24.175008919541597
310,2.0,21.609376971982783,23.47878370792523
314,1.0,11.627756390744707,13.571712687743457
311,2.0,40.15233270734052,15.293227831861714
312,2.0,32.13675351362781,18.718469660868323
313,2.0,44.397430341003655,14.129359497521364
305,3.0,102.57547010069902,9.911214823699993
303,3.0,127.19427308423155,22.371983751540483
315,3.0,11.446066925909236,6.753926693722406
316,3.0,13.935293169965007,9.511020753252069
317,1.0,0.0,10.327652444959313
318,2.0,0.0,15.717029359936532
319,3.0,7.501400236410063,29.90088912819192
320,3.0,6.767922698699294,30.26451273977318
323,1.0,17.703110614211255,7.809683168945412
321,1.0,20.578796686795613,17.074747698077772
322,2.0,29.65181758077415,22.67930331727439
324,2.0,19.291778340761084,21.815155202327787
325,3.0,36.094618595841894,3.4378656381850305
326,3.0,5.882680634843382,25.986279362806272
327,3.0,0.0,22.782135842711796
329,2.0,0.0,15.27265675639228
328,2.0,1.4937188899007197,29.5581664961187
330,2.0,5.923960618104047,26.2035255638948
333,1.0,7.2011380425756215,23.365598494777714
335,1.0,10.532483937973666,22.56398196268492
337,1.0,5.411604934380648,19.18719397804807
332,2.0,56.09117417633115,13.465539071229614
340,1.0,5.569439547645743,19.7510297780982
334,2.0,62.42386628745635,14.255980522395475
336,2.0,47.90694373117685,17.389810385339842
339,2.0,39.71965762640548,15.882792838937348
341,2.0,34.10639343383218,24.574600655340873
343,2.0,18.337910876055503,4.194321495333952
342,2.0,2.637708410216419,21.4209733050443
331,3.0,119.90274485765713,9.592051195515523
344,1.0,0.7513925930611549,15.539368088373067
338,3.0,97.32594899204287,13.523957923570379
345,3.0,13.199986954434735,20.444612341520497
346,3.0,18.398587096011397,26.773426189222846
350,1.0,3.7248706055643197,22.879060576778556
